"Nankana Sahib incident: Why Sidhu not demanding strict action against accused, asks Bitta",2020-01-06T17:59:24+05:30,Express News Service,"Imran Khan, Nankana Sahib, navjot singh sidhu, Pakistan",https://indianexpress.com/article/india/nankana-sahib-incident-why-sidhu-not-demanding-strict-action-against-accused-asks-bitta-6202923/
"Manohar Lal Khattar kicks off BJP’s awareness campaign on  CAA in Haryana, Punjab",2020-01-06T17:52:31+05:30,Anju Agnihotri Chaba,,https://indianexpress.com/article/india/manohar-lal-khattar-kicks-off-bjps-awareness-campaign-on-caa-in-haryana-punjab-6202710/
"‘Left getting it back, scores being settled’: BJP’s Dilip Ghosh on JNU violence",2020-01-06T17:49:57+05:30,Express Web Desk,"BJP, Dilip Ghosh, JNU",https://indianexpress.com/article/india/left-is-getting-it-back-scores-being-settled-bjps-dilip-ghosh-on-jnu-violence-6202759/
Kerala: Muslim Youth League to build ‘black wall’ against Amit Shah in Kozhikode,2020-01-06T17:50:56+05:30,Express Web Desk,amit shah,https://indianexpress.com/article/india/kerala-muslim-youth-league-to-build-black-wall-against-amit-shah-in-kozhikode/
"Bihar: 17 years after student torched self, family still awaits payment of father’s dues",2020-01-06T14:59:07+05:30,Santosh Singh,"Bihar, Patna",https://indianexpress.com/article/india/bihar-17-years-after-student-torched-himself-demanding-fathers-salary-dues-family-still-moving-from-pillar-to-post-for-payment-6202354/
"JNU attack ‘descent into fascism’, buck stops with Amit Shah: Chidambaram",2020-01-06T15:16:14+05:30,Express Web Desk,"Congress, JNU, P Chidambaram",https://indianexpress.com/article/india/jnu-violence-descent-into-fascism-buck-stops-with-amit-shah-chidambaram-6202545/
JNU violence reminded me of 26/11 attacks: Uddhav Thackeray,2020-01-06T14:44:03+05:30,Express Web Desk,"JNU, Uddhav Thackeray",https://indianexpress.com/article/india/jnu-violence-protests-maharashtra-uddhav-thackeray-mumbai-attacks-26-11-remark-6202410/
Campuses should not be made political battlefields: Smriti Irani on JNU violence,2020-01-06T14:15:23+05:30,PTI,"JNU, smriti irani",https://indianexpress.com/article/india/campuses-should-not-be-made-political-battlefields-smriti-irani-on-jnu-violence-6202433/
"JNU violence: HRD meeting with university officials concludes, V-C Jagadesh Kumar stays away",2020-01-06T14:16:36+05:30,Express Web Desk,,https://indianexpress.com/article/india/jnu-violence-hrd-meeting-with-university-officials-concludes-v-c-jagadesh-kumar-stays-away-6202381/
"Congress, AAP responsible for anti-CAA riots: Amit Shah",2020-01-06T14:12:29+05:30,Express Web Desk,"AAP, amit shah, Arvind Kejriwal, BJP, CAA, Congress",https://indianexpress.com/article/india/congress-aap-responsible-for-anti-caa-riots-amit-shah-6202413/
AIMIM president Asaduddin Owaisi expresses solidarity with JNU students,2020-01-06T13:25:53+05:30,PTI,Asaduddin Owaisi,https://indianexpress.com/article/india/aimim-president-asaduddin-owaisi-expresses-solidarity-with-jnu-students-6202352/
Five Pak nationals held with drugs worth Rs 175 crore off Gujarat coast,2020-01-06T13:17:21+05:30,Express News Service,Gujarat,https://indianexpress.com/article/india/five-pak-nationals-held-with-drugs-worth-rs-175-crore-off-gujarat-coast-6202214/
Kerala Lottery Win Win W-546 Today Results announced: First prize is worth Rs 65 lakh!,2020-01-06T15:24:43+05:30,Express Web Desk,"Kerala lottery, Kerala Win Win Lottery",https://indianexpress.com/article/india/kerala/kerala-lottery-win-win-w-546-results-winner-to-tke-home-rs-65-lakh6201974/
Haryana will enact new law to deny bail to drug smugglers for 6 months: Dushyant,2020-01-06T12:18:41+05:30,Express News Service,"drug smuggling, Dushyant Chautala, Haryana",https://indianexpress.com/article/india/haryana-will-enact-new-law-to-deny-bail-to-drug-smugglers-for-6-months-dushyant-chautala-6202047/
Sharad Pawar’s name should be considered for President’s post: Sanjay Raut,2020-01-06T12:02:00+05:30,PTI,"Sanjay Raut, Sharad Pawar",https://indianexpress.com/article/india/sharad-pawars-name-should-be-considered-for-presidents-post-raut-6202051/
Help on way soon for jobless printing press workers in Srinagar,2020-01-06T11:53:46+05:30,Raakhi Jagga,"Kashmir, Srinagar",https://indianexpress.com/article/india/help-on-way-soon-for-jobless-printing-press-workers-in-srinagar-6202092/
Vijay Mallya cannot use pendency of plea here to stall proceedings in UK: SC,2020-01-06T13:21:20+05:30,Express Web Desk,"sbi, supreme court, Vijay Mallya",https://indianexpress.com/article/india/vijay-mallya-cannot-use-pendency-of-plea-in-this-court-to-stall-proceedings-in-uk-sc-6202069/
"Shift Bhim Army chief to AIIMS, no grounds to keep him in jail: Priyanka Gandhi",2020-01-06T06:18:38+05:30,Express News Service,"Bhim Army chief Chandrashekhar, Priyanka Gandhi Vadra",https://indianexpress.com/article/india/shift-bhim-army-chief-to-aiims-no-grounds-to-keep-him-in-jail-priyanka-6201598/
"JNU violence: AMU students hold vigil, demand immediate arrest",2020-01-06T06:08:50+05:30,Express News Service,JNU,https://indianexpress.com/article/india/jnu-violence-amu-students-hold-vigil-demand-immediate-arrest-6201600/
Apologise for sending protesters to jail: Maya to Yogi govt,2020-01-06T06:48:26+05:30,Express News Service,"CAA protests, Mayawati, Uttar Pradesh",https://indianexpress.com/article/india/apologise-for-sending-protesters-to-jail-maya-to-yogi-govt-6201590/
"Yogi gives BJP booklet on CAA to Muslims, says read it to clear doubts",2020-01-06T06:48:22+05:30,Express News Service,"CAA protests, Yogi Adityanath",https://indianexpress.com/article/india/yogi-gives-bjp-booklet-on-caa-to-muslims-says-read-it-to-clear-doubts-6201516/
"JNU violence: Masked men run riot inside campus for 3 hours, 26 injured",2020-01-06T14:18:15+05:30,Aranya Shankar,"Delhi Police, JNU, New Delhi",https://indianexpress.com/article/india/jawaharlal-nehru-university-jnu-delhi-violence-abvp-jnusu-6201447/
"Sikh killed, India tells Pakistan: ‘guard minorities’",2020-01-06T04:40:30+05:30,Krishn Kaushik,,https://indianexpress.com/article/india/sikh-killed-india-tells-pakistan-guard-minorities-6201476/
"BJP to fight Delhi polls on Modi name, CAA agenda",2020-01-06T09:21:31+05:30,Abhinav Rajput,"amit shah, BJP, Delhi elections, Narendra Modi",https://indianexpress.com/article/india/bjp-to-fight-delhi-polls-on-modi-name-caa-agenda-6201481/
"‘Concerned’ India in touch with Iran, US",2020-01-06T07:00:29+05:30,Express News Service,"Iran, Mike Pompeo, Qassem Soleimani, S. Jaishankar",https://indianexpress.com/article/india/india-us-iran-qassem-soleimani-6201491/
"JNU violence: Delhi Police watch as ambulances smashed, leaders heckled",2020-01-06T07:38:43+05:30,Shivam Patel,JNU,https://indianexpress.com/article/india/jnu-violence-police-watch-as-ambulances-smashed-leaders-heckled-6201469/
Nobel couple Esther Duflo and Abhijit Banerjee at Express Adda today,2020-01-06T09:25:54+05:30,Express News Service,"Abhijit Banerjee, Esther Duflo, Express Adda",https://indianexpress.com/article/india/nobel-couple-esther-duflo-and-abhijit-banerjee-at-adda-today-6201439/
"Hold special Assembly session to make Gujarat first in the country, not to support CAA: Jignesh Mevani",2020-01-06T06:48:46+05:30,Express News Service,"Citizenship Amendment Act, Gujarat, Jignesh Mewani",https://indianexpress.com/article/india/hold-special-assembly-session-to-make-gujarat-first-in-the-country-not-to-support-caa-mevani-6201322/
"Maharashtra: Will take call on ‘urban Naxalism’ after talks, says Home minister Anil Deshmukh",2020-01-06T06:50:39+05:30,Vivek Deshpande,"Anil Deshmukh, Maharashtra",https://indianexpress.com/article/india/maharashtra-home-minister-anil-deshmukh-take-call-on-urban-naxalism-6201445/
CBI files fresh case on coal block allocation,2020-01-06T02:41:37+05:30,Deeptiman Tiwary,Coal block allocation case,https://indianexpress.com/article/india/cbi-files-fresh-case-on-coal-block-allocation-6201394/
Nirmala Sitharaman to Ashok Gehlot: Listen to deputy on Kota infant deaths,2020-01-06T02:36:17+05:30,Express News Service,"Ashok Gehlot, Nirmala Sitharaman",https://indianexpress.com/article/india/nirmala-sitharaman-to-ashok-gehlot-listen-to-deputy-on-kota-infant-deaths-6201399/
Kota infant deaths: Rajasthan health minister takes veiled jibe at Sachin Pilot,2020-01-06T02:35:34+05:30,Express News Service,Sachin Pilot,https://indianexpress.com/article/india/kota-infant-deaths-rajasthan-health-minister-takes-veiled-jibe-at-sachin-pilot-6201389/
"After report on baby deaths in Gujarat, Dy CM points to ‘cyclical phenomenon’",2020-01-06T02:27:07+05:30,Express News Service,,https://indianexpress.com/article/india/after-report-on-baby-deaths-in-gujarat-dy-cm-points-to-cyclical-phenomenon-6201363/
"Maharashtra: Ajit Pawar gets finance, Anil Deshmukh home",2020-01-06T02:23:45+05:30,Express News Service,"Aaditya Thackeray, ajit pawar, Uddhav Thackeray",https://indianexpress.com/article/india/maharashtra-ajit-pawar-gets-finance-anil-deshmukh-home-6201375/
Smriti Irani attacks Oppn over CAA ‘politics’,2020-01-06T02:22:06+05:30,Sakshi Dayal,smriti irani,https://indianexpress.com/article/india/smriti-irani-attacks-oppn-over-caa-politics-6201385/
"Have not resigned, not unhappy: Sena’s Abdul Sattar",2020-01-06T02:35:35+05:30,Express News Service,"Abdul Sattar, Uddhav Thackeray",https://indianexpress.com/article/india/have-not-resigned-not-unhappy-senas-abdul-sattar-6201383/
"Madhya Pradesh: FIR against Kailash Vijayvargiya, 350 others",2020-01-06T02:10:19+05:30,Express News Service,"Kailash Vijayvargiya, Kamal Nath",https://indianexpress.com/article/india/madhya-pradesh-fir-against-kailash-vijayvargiya-350-others-6201369/
