Shefali Bagga: Sidharth Shukla is using Shehnaaz Gill for his game,2020-01-06T11:17:03+05:30,Sana Farzeen,Bigg Boss 13,https://indianexpress.com/article/entertainment/television/bigg-boss-13-evicted-contestant-shefali-bagga-sidharth-shukla-shehnaaz-gill-6202038/
Mumbai: Eight injured after level-3 fire breaks out at building in Nagpada,2020-01-06T12:23:29+05:30,Express Web Desk,Mumbai,https://indianexpress.com/article/cities/mumbai/mumbai-fire-building-nagpada-6202037/
Weinstein heads to trial 2 years after claims against him fueled #MeToo,2020-01-06T11:00:53+05:30,New York Times,"Harvey Weinstein, MeToo",https://indianexpress.com/article/world/weinstein-heads-to-trial-2-years-after-claims-against-him-fueled-metoo-6201985/
Taking the baby out this winter? Keep these pointers in mind,2020-01-06T10:56:34+05:30,,"baby, parenting",https://indianexpress.com/article/parenting/family/taking-the-baby-out-this-winter-keep-these-pointers-in-mind-6201767/
"Hildur Guðnadóttir makes history at Globes, Elton John wins",2020-01-06T10:52:15+05:30,AP,"Elton John, Golden Globe Awards",https://indianexpress.com/article/entertainment/hollywood/hildur-gudnadottir-makes-history-at-globes-elton-john-wins-6201992/
Are you in the company of a ‘covert narcissist’?,2020-01-06T10:50:44+05:30,Lifestyle Desk,"narcissist, narcissistic personality disorder",https://indianexpress.com/article/lifestyle/feelings/are-you-in-the-company-of-a-covert-narcissist/
Burqa-bindi protest against CAA in Bengaluru,2020-01-06T11:28:08+05:30,Express News Service,"Bengaluru, Citizenship Amendment Act, NRC",https://indianexpress.com/article/cities/bangalore/citizenship-amendment-act-nrc-npr-burqa-bindi-protest-among-three-in-bengaluru-6201914/
"Hairdryer, steam iron brought out to dry Guwahati pitch before T20I against Sri Lanka",2020-01-06T12:20:44+05:30,Sports Desk,India vs Sri Lanka,https://indianexpress.com/article/sports/cricket/hairdryer-and-steam-iron-used-to-dry-guwahati-pitch-in-ind-vs-sl-1st-t20i-6201858/
Golden Globes 2020: Tom Hanks accepts Cecil B DeMille Award,2020-01-06T10:49:04+05:30,AP,"Golden Globes Award, Tom Hanks",https://indianexpress.com/article/entertainment/hollywood/with-laughs-and-tears-tom-hanks-accepts-globes-demille-honor-6201967/
"Five dead and 60 injured in Pennsylvania Turnpike multi-vehicle crash, officials say",2020-01-06T10:31:15+05:30,New York Times,Pennsylvania,https://indianexpress.com/article/world/pennsylvania-turnpike-multi-vehicle-crash-officials-live-updates-6201855/
