"PMLA court orders liquidation of Vijay Mallya’s Rs 11,000-cr assets to clear debt"," 1 January, 2020 2:35 pm IST",Ananya Bhardwaj,"SBI, Vijay Mallya",https://theprint.in/india/mumbai-court-allows-sbi-led-consortium-of-banks-to-liquidate-vijay-mallyas-assets-to-clear-debt/343334/
"Introduce on-demand exams at undergraduate level, UGC panel tells Modi govt"," 1 January, 2020 1:28 pm IST",Kritika Sharma,"higher education, HRD Ministry, UGC",https://theprint.in/india/education/introduce-on-demand-exams-at-undergraduate-level-ugc-panel-tells-modi-govt/343099/
"Week after death of Varanasi boy during CAA protest, family yet to get post-mortem report"," 1 January, 2020 12:31 pm IST",Fatima Khan,"CAA protests, Citizenship Amendment Act, Varanasi",https://theprint.in/india/week-after-death-of-varanasi-boy-during-caa-protest-family-yet-to-get-post-mortem-report/342935/
Why women of Karnataka’s Kodagu are busy learning how to use a rifle," 1 January, 2020 11:32 am IST",Rohini Swamy,"Firearms, Karnataka, Kodagu",https://theprint.in/india/why-women-of-karnatakas-kodagu-are-busy-learning-how-to-use-a-rifle/342888/
Mukesh Ambani unveils e-commerce platform to take on Amazon & Flipkart," 1 January, 2020 11:17 am IST",P. R. Sanjai,"Bloomberg wire, Mukesh Ambani, Reliance Industries",https://theprint.in/india/mukesh-ambani-unveils-e-commerce-platform-to-take-on-amazon-flipkart/343251/
"$5 trillion economy in mind, PM Modi set to begin 2020 with review of ministries’ 5-yr plans"," 1 January, 2020 11:01 am IST",Sanya Dhingra,"Indian Economy, Narendra Modi, Nirmala Sitharaman",https://theprint.in/economy/5-trillion-economy-in-mind-pm-modi-set-to-begin-2020-with-review-of-ministries-5-yr-plans/343246/
"To cut cost, PM Modi cuts size of his personal staff by almost 50%, PMO by at least 15%  "," 1 January, 2020 10:32 am IST",Moushumi Das Gupta,"Modi foreign trips, Narendra Modi, PMO",https://theprint.in/india/governance/to-cut-cost-pm-modi-cuts-size-of-his-personal-staff-by-almost-50-pmo-by-at-least-15/342987/
Passport verification in J&K now involves ‘informal interviews’ at police stations," 1 January, 2020 9:29 am IST",Azaan Javaid,"Jammu and Kashmir, Passport office",https://theprint.in/india/passport-verification-in-jk-now-involves-informal-interviews-at-police-stations/342984/
"412 booked under Public Safety Act since 5 August, says report by Kashmir-based rights group"," 31 December, 2019 8:24 pm IST",Azaan Javaid,"Article 370, Jammu and Kashmir, Kashmir",https://theprint.in/india/412-booked-under-public-safety-act-since-5-august-says-report-by-kashmir-based-rights-group/343140/
"SMS service, broadband internet in govt hospitals restored in Kashmir at midnight"," 31 December, 2019 8:24 pm IST",PTI,"Article 370, Jammu & Kashmir, PTI wire",https://theprint.in/india/broadband-internet-to-be-restored-in-govt-hospitals-in-kashmir-from-31-december-midnight/343208/
Railways announce fair hike effective from 1 January 2020," 31 December, 2019 7:53 pm IST",PTI,"Indian Railways, PTI wire",https://theprint.in/india/railways-announce-fair-hike-effective-from-1-january-2020/343185/
"Mamata carries out major police reshuffle in Bengal, transfers 68 IPS officers in two days"," 31 December, 2019 7:53 pm IST",Madhuparna Das,"IPS officers, Mamata Banerjee, TMC, West Bengal",https://theprint.in/india/governance/mamata-carries-out-major-police-reshuffle-in-bengal-transfers-68-ips-officers-in-two-days/343179/
Railways renames RPF as Indian Railway Protection Force Service," 31 December, 2019 6:10 pm IST",PTI,"Indian Railways, PTI wire",https://theprint.in/india/railways-renames-rpf-as-indian-railway-protection-force-service/343141/
Delhi govt to rename Pragati Maidan metro station after Supreme Court," 31 December, 2019 5:31 pm IST",PTI,"Delhi government, Pragati Maidan, PTI wire, Supreme Court",https://theprint.in/india/governance/delhi-govt-to-rename-pragati-maidan-metro-station-after-supreme-court/343095/
Indore remains India’s cleanest city for the fourth year," 31 December, 2019 5:25 pm IST",PTI,"Indore, PTI wire, Surat",https://theprint.in/india/indore-remains-indias-cleanest-city-for-the-fourth-year/343045/
"Shiv Sena MP, BJP MLA booked for attempt to murder amid panchayat polls in Maharashtra"," 31 December, 2019 4:31 pm IST",PTI,"BJP, PTI wire, Shiv Sena",https://theprint.in/india/shiv-sena-mp-bjp-mla-booked-for-attempt-to-murder-amid-panchayat-polls-in-maharashtra/343034/
Delhi court grants interim bail to two in Seelampur violence case on medical grounds," 31 December, 2019 4:29 pm IST",PTI,"CAA, Citizenship Bill protests, PTI wire",https://theprint.in/india/delhi-court-grants-interim-bail-to-two-in-seelampur-violence-case-on-medical-grounds/343022/
India’s Huawei bet to ‘pacify China’ is set to be next thorn in India-US ties," 31 December, 2019 4:01 pm IST",Nayanima Basu,"5G, 5G network, China, Huawei, US",https://theprint.in/diplomacy/indias-huawei-bet-to-pacify-china-is-set-to-be-next-thorn-in-india-us-ties/342973/
Varanasi toddler hasn’t been breastfed for days as parents were arrested during CAA protest," 31 December, 2019 2:21 pm IST",Fatima Khan,"Citizenship Amendment Act protests, PM Modi, Varanasi",https://theprint.in/india/varanasi-toddler-hasnt-been-breastfed-for-days-as-parents-were-arrested-during-caa-protest/342853/
Huawei thanks Modi govt after being allowed to participate in 5G trials," 31 December, 2019 2:00 pm IST",K J M Varma,"5G, Huawei, PTI wire",https://theprint.in/india/huawei-thanks-modi-govt-after-being-allowed-to-participate-in-5g-trials/342884/
"Car in Karnataka CM Yediyurappa’s convoy rams into truck, two injured in mishap"," 31 December, 2019 2:00 pm IST",PTI,"B. S. Yediyurappa, Karnataka, PTI wire",https://theprint.in/india/car-in-karnataka-cm-yediyurappas-convoy-rams-into-truck-two-injured-in-mishap/342876/
Prateek Kuhad’s ‘Cold/Mess’ makes it to Barack Obama’s list of 2019’s favourite music," 31 December, 2019 1:59 pm IST",Unnati Sharma,"Barack Obama, Music bands",https://theprint.in/india/prateek-kuhads-cold-mess-makes-it-to-barack-obamas-list-of-2019s-favourite-music/342878/
"Eye on $5 trillion economy, PM wants ministries to set goals with global standards in mind"," 31 December, 2019 1:31 pm IST",Moushumi Das Gupta,"Human Resource Development (HRD) ministry, Narendra Modi, Pradhan Mantri Awas Yojana",https://theprint.in/india/eye-on-5-trillion-economy-pm-wants-ministries-to-set-goals-with-global-standards-in-mind/342500/
Modi govt supports Zero Budget Natural Farming but doesn’t have enough budget to promote it," 31 December, 2019 11:40 am IST",Samyak Pandey,"Agriculture, Modi government, Organic farming, Zero budget farming",https://theprint.in/india/governance/modi-govt-supports-zero-budget-natural-farming-but-doesnt-have-enough-budget-to-promote-it/342570/
Hinduja brothers preparing bid to buy grounded Jet Airways," 31 December, 2019 11:34 am IST",Bijou George,"Bloomberg wire, Hinduja, Jet Airways",https://theprint.in/india/hinduja-brothers-preparing-bid-to-buy-grounded-jet-airways/342800/
Yogi govt wants public to pay damages for protest but order violates Supreme Court judgment," 31 December, 2019 9:30 am IST",Apoorva Mandhani,"CAA protests, CM Yogi Adityanath, UP Government",https://theprint.in/india/yogi-govt-wants-public-to-pay-damages-for-protest-but-order-violates-supreme-court-judgment/342620/
"New home for PM, a triangular Parliament — Modi govt readies Delhi power corridor makeover"," 30 December, 2019 9:21 pm IST",Moushumi Das Gupta,,https://theprint.in/india/governance/new-home-for-pm-a-triangular-parliament-modi-govt-readies-delhi-power-corridor-makeover/342758/
India recalls Ambassador to Austria Renu Pall over financial irregularities," 30 December, 2019 9:05 pm IST",ANI,"ANI wire, Austria, MEA",https://theprint.in/india/india-recalls-ambassador-to-austria-renu-pall-over-financial-irregularities/342760/
